course_number,course_name,credits,description,
ACC 208,Accounting for Manager,3,"This course is designed to explain how data can be interpreted and used by managers in making decisions. Additionally, this course introduces the student to the analysis and interpretation of financial reports. THE UNIVERSITY OF ARIZONA GLOBAL CAMPUSCOURSE DESCRIPTIONS",
ACC 281,"Accounting Concepts for
Health Care Professionals",3,This course is designed as an applied managerial and financial accounting course. It provides health care decision-makers with fundamental concepts of health care accounting practices and procedures. Prerequisites: Successful completion of Quantitative Reasoning Core competency and Digital Literacy competency.,
ACC 305,Intermediate Accounting I,3,"This is the first of three intermediate accounting courses. The course covers accounting theory and a review of the accounting cycle. Additional topics covered include net income and comprehensive income, cash flows and the time value of money. Prerequisite:",
ACC 306,Intermediate Accounting II,3,"This is the second of three intermediate accounting courses. The first part of the course covers revenue recognition accounting theory. Additional topics covered include cash and receivables, inventory, long- term assets and liabilities. Prerequisite:",
ACC 307,Intermediate Accounting III,3,"This is the third of three intermediate accounting courses. The first part of the course covers stockholder’s equity and investments. Additional topics covered include income taxes, leases, employee compensation, earnings per share, accounting changes and cash flows. Prerequisite:",
ACC 308,Accounting Information Systems,3,"This course serves to advance the knowledge of computerized accounting for service and merchandising businesses, the underlying differences between manual and computerized accounting, and build students’ understanding of the accounting cycle and business processes including bookkeeping, invoicing, billing, and business trends.",
ACC 310,Cost Accounting I,3,"Covers traditional “cost” concepts: factory overhead, cost accumulation, job order cost system, process cost system, joint product and byproduct costing, standard costs and variances. Prerequisite:",
ACC 345,Leadership & Financial Analysis,3,The course emphasizes the leadership component of the accounting profession and the link of accountants as business partners and team leaders in organizations today. The financial analysis component is included to link the team and leadership concepts to providing information and analysis of key financial ratio indicators for the organization. Prerequisite:,
ACC 380,Accounting for Not-for-Profit Organizations,3,"Examines the differences in accounting between not-for-profit and for- profit organizations. Accounting for funds including general funds, special revenue funds, capital projects funds, debts service funds, special assessment funds, internal service funds, enterprise funds, fiduciary funds, the general fixed asset group of accounts, and the general long-term debt group of accounts. Prerequisite:",
ACC 401,Federal Income Taxes I,3,"A study of federal income tax laws and their application to individuals, partnerships, and corporations. Prerequisite:",
ACC 410,Auditing,3,"Principles, procedures, and standards of public accounting. Emphasis on auditor’s working papers and submission of audit statements. Prerequisites:",
ACC 306,"and ACC 310 and successful completion of the
General Education Capstone course. ACC 410 is the capstone course for
the BA in Accounting program and must be taken last in the sequence.
This course is not available for non-degree seeking students.
ACC 610 Advanced Federal Taxation",3,"This course focuses on the key elements of taxation for individuals, various types of business entities, and estates. Topics covered include tax regulation, research, compliance, and planning strategies for individual taxpayers. Students will also learn about pass-through entities such as partnerships and S corporations, and C corporations, including multinational companies.",
ACC 611,Advanced Tax Research,3,"This course is designed with an emphasis on developing research skills related to complex tax issues. The focus is on interpretation of tax law and finding support for various positions on difficult tax issues related to a variety of business, personal, and estate tax issues.",
ACC 612,Advanced Financial Accounting,3,"This course expands on the basic financial reporting concept with a focus on business combination reporting for corporations and partnerships, foreign currency transaction reporting and financial statement translation, and financial statement note disclosure.",
ACC 614,Auditing & Fraud Detection,3,"This course will cover the components of the auditing process with a strong emphasis on planning, risk assessment, and gathering audit evidence. The course will provide a foundation in the fundamentals of assurance, attestation, and auditing.",
ACC 616,Forensic Accounting,3,"This course will cover the basic concepts of forensic accounting including identifying, detecting, and preventing fraud. There will be an emphasis on investigating documentary evidence, interviewing witnesses and potential suspects, writing investigative reports, and testifying to findings.",
ACC 617,Current Issues in Advanced Auditing,3,"This course will examine current and advanced issues affecting the auditing profession. Topics will include the study of audit risk, corporate governance, audit planning and execution, special reports, and assurance engagements.",
ACC 618,Professional Ethics for the Accountant,3,"This course will provide an understanding of the ethics and code of professional conduct provided by the American Institute of Certified Public Accountants (AICPA). In addition, ethic guidelines and codes of conduct endorsed by other professional accounting organizations such as the Institute of Managerial Accountants will be introduced.",
ACC 407,Advanced Accounting,3,"Primarily a course dealing with combined business entities. Topics include mergers, acquisitions and combinations, consolidated financial statements, intercompany profit, changes in equity, international operations, and partnerships. Prerequisite:",
ACC 306,and ACC 310.ACC 622 Accounting Information Systems,3,"This course will include a review of accounting information systems application controls and internal controls. Topics include hardware and software concepts, application internal controls, internal control procedures, integrated audit software, generalized general ledger software, Sarbanes-Oxley (SOX) internal control requirements, and required company and audit documentation.",
ACC 408,International Accounting,3,"The course focus encompasses the global perspective accountants are exposed to regularly. Many firms conduct business abroad thanks to internet sales, and accountants need a broader understanding of the",
ACC 624,"Current Issues in Accounting
Information Systems",3,"This advanced course provides an in-depth study of Accounting Information System concepts including business intelligence solutions, 2023-2024 ACADEMIC CATA",
ACC 626,Accounting in a Global Environment,3,"This course will include the study of an entity reported as either a multinational company or an entity whose reporting obligations to stakeholders are located in a country other than that of the reporting entity. Conceptual and practical applications of accounting are investigated from a global perspective. Special emphasis is placed on managing multinational enterprises with respect to how accounting applies to global strategies and the key accounting issues that influence multinational decision-making. In addition, a detailed investigation on the convergence of U.S. Generally Accepted Accounting Principles (GAAP) and International Financial Reporting Standards (IFRS) is covered in this course. Also discussed are the effects of financial reporting, international taxation, and international financial statement analysis on a multinational reporting entity.",
ACC 630,"Advanced Government & Non-Profit
Accounting",3,"This course introduces specialized accounting principles applicable to state and local governments and other non-profit organizations. Emphasis will be on fund accounting, and students will gain an understanding of the differences between private and public sector accounting.",
ACC 640,Advanced Managerial & Cost Accounting,3,"This course explores advanced managerial and cost accounting topics as they relate to problem-solving skills for managers. Topics include activity-based costing, activity-based management, cost of quality, theory of constraints related to capacity planning, and new emerging practices that support management decision-making.",
ACC 695,Accounting Capstone,3,"This course is designed to bring together knowledge gained from the previous program courses and allow the student to demonstrate how the various components of an accounting system work together. Broadly, the course encompasses complex accounting concepts, financial statement reporting, taxes, risks, information systems, auditing, business law, and ethics.",
ACC 697,Audit Capstone,3,"This course is designed to bring together knowledge gained from the previous program courses. Broadly, the course emphasizes complex auditing concepts and will also encompass accounting concepts, financial statement reporting, taxes, risks, information systems, business law, and ethics.",
ACC 698,Accounting Information Systems Capstone,3,This course requires students to use all of the skills and knowledge gained during completion of the program by applying them to contemporary information systems issues and problems facing the profession. Students will be required to apply accounting information systems to complex areas of accounting and taxation. The course emphasizes both the practical and ethical issues of the practice of accounting. AIS Artificial Intelligence,
AIS 200,Principles of Artificial Intelligence,3,"This course provides students with the understanding of the key principles, techniques, and applications associated with artificial intelligence (AI) for business strategies and transformation. Students will gain knowledge about knowledge representation, game theory, 290 search problems using computational theories. The course will also explore different issues surrounding AI such as ethics and bias. Some key concepts and terms like deep learning and neural networks will also be covered as part of the course.",
AIS 250,Principles of Machine Learning,3,"In this course, students will examine fundamental concepts and theories related to machine learning. Students will explore the different machine learning models that include: supervised and unsupervised learning, and reinforcement learning. Students will gain an understanding of applications of machine learning in different areas and how to select the appropriate model for a particular scenario. Students will also relate machines learning to other related areas like artificial intelligence, data analytics, and data science.",
AIS 300,Principles of Data Analytics,3,"This course introduces you to the basics of artificial intelligence, data science, and data analytics for the handling of massive databases. The course covers concepts and data mining for big data analytics and introduces you to data visualization and some basic statistical concepts for data science.",
AIS 600,Analytics & Artificial Intelligence for Decision Support,3,"This course Introduces the essentials of Artificial Intelligence (AI) as a discipline and as it relates to analytics in supporting the process of decision making. Students will learn fundamentals of methods and techniques used to develop business analytics. The course introduces examples, products, and services used by modern day organizations using AI and various types of analytics to make business decisions.",
AIS 620,Statistics and Data Sciences for Business Leaders,3,"This course introduces statistics, data sciences and their applications when working with and interpreting data at workplace. The course introduces a foundation for understanding of probabilistic reasoning and the evaluation of data for decision making.",
AIS 630,Ethical and Responsible Data Management,3,This course focuses on best practices for managers in gaining control over AI implementations and ethical data analysis. The course addresses the responsibilities of a data science manager in overseeing automated decision making that goes beyond the delivery of the modeling results and deployment of the systems. The course studies improving the data monitoring procedures for adhering to a higher ethical standard and responsible data management within an organization. ANT Anthropology,
ANT 234,"Family, Kin, & Groups",3,"This course will explore the central problems of cultural anthropology, such as family, economic and political systems, ethnicity, symbolic meaning, and the backgrounds of inequality. Students will study the central concepts and issues of cultural anthropology on a cross-cultural and worldwide basis, relating the material back to their own culture. Prerequisite: Written Communication Competency and",
ANT 101,"or
Intercultural & Global Awareness.
ANT 307 Anthropology of War",3,"An examination of the nature of war, as it occurs in societies from the pre-industrial to the postmodern. The course surveys anthropological explanations regarding the phenomenon of war. Emphasis is on understanding the complexity, variability, and cultural persistence of war as it occurs around the world. Prerequisite: Written Communication Competency and",
ANT 101,"or Intercultural & Global Awareness.
THE UNIVERSITY OF ARIZONA GLOBAL CAMPUSCOURSE DESCRIPTIONS
ANT 315 Material Culture: Archaeology and the
Human Condition",3,"This course examines the anthropological sub-discipline of archaeology, the study of the human past, looking specifically at the theories and methods used by archaeologists. Students will learn how archaeologists gather and use data, and how this information is relevant to contemporary society. Students will explore the history and background of archaeology, as well as how archaeologists approach such topics as the origins of inequality, gender roles, complex societies, and ethical issues such as who owns the past. Prerequisite:",
ANT 340,Anthropological Theory,3,"Anthropological theory is a vast subject with many branches and sub- branches. In order to introduce students to key figures, historical trends, and major theoretical families relevant to the study of anthropological theory, this course will explore main theoretical approaches that are crucial to understanding anthropological theory. These theoretical approaches include evolution, culture, structure, function, and relativism. In order to familiarize students with the origins of these social theories, the course focus on some of the most important theorists in the history of anthropology and their social context. Prerequisite: Written Communication Competency and",
ANT 101,"or Intercultural & Global Awareness.
ANT 343 Language, Culture, & Communication",3,"This course is an introduction to the study of the relationship of language and culture, including examination of the characteristics and structural principles of natural language. After exploring the basic characteristics of sound, word formation, and sentence structure, these principles are applied to such topics as language variation, language change, psycholinguistics, and pragmatics. Prerequisite: Written Communication Competency and",
ANT 101,"or Intercultural & Global
Awareness.
connection between theory and methodology. The perspective guiding
the course is qualitative research as an empirical, rigorous approach
that analyzes and interprets social and cultural aspects of human life.
Prerequisite: All 300-level courses required for major and successful
completion of the General Education Capstone course. Recommended
Prerequisite: Senior Level Status.
ANT 499 Ethnographic Study Capstone",3,"This course will provide an opportunity for students to engage in a qualitative research project to practice the skills and concepts acquired throughout their programs. Particularly attentive to the problems of conducting ethnographic research in a changing world characterized by transnational ties, the course is meant to form the capstone experience for anthropology and social science majors. Prerequisite:",
ART 101,Art Appreciation,3,"A survey course providing an overview of art history and the principles of visual art, exploring the various contextual factors and purposes of art. Students are encouraged to discover personal interests through their own research on movements, themes, and individual artists. AVI Aviation",
AVI 200,Commercial Drone Pilot,3,"This course prepares students to take the Federal Aviation Administration (FAA) exam in commercial drone operations. Students explore FAA regulations to operate small unmanned aircraft systems (UAS) in the National Airspace System (NAS) for purposes other than hobby and recreation. This course examines the FAA Part 107 UAS classification, certification, and operating rules.",
ANT 348,Native American Anthropology,3,"This course examines the nature and distribution of North American Indian cultures from the pre-Columbian period to the present. Through the use of archeological, anthropological, and contemporary community studies, this course will explore the diversity of traditional North American Indian and Inuit cultures and the adaptation of indigenous peoples to America. Prerequisite: Written Communication Competency and",
ANT 101,"or Intercultural & Global Awareness.Completion of AVI 200, does not lead to certification. Upon successful
completion of AVI 200, students will be prepared to take the FAA Part
107. Once students pass the exam, they will be eligible for certification
as a drone pilot. Certification is granted by the Federal Aviation
Administration and not by the University of Arizona Global Campus. It is
the student’s responsibility to locate an approved PSI Testing Center.
ANT 351 Anthropology of Religion, Magic, & Ritual",3,"This course examines the nature of religious belief systems, myth and ritual, witchcraft, and magic and sorcery in various societies of the world. These behavioral and symbolic forms exist or have existed in virtually all human societies and cultures. In this course, students will study many different belief systems, define these entities, and develop an understanding of how they work in societies. The differences among traditions in nation states on cultures and political systems will be explored. Prerequisite: Written Communication Competency and",
"ANT
101",or Intercultural & Global Awareness.AWS 101 Cloud Infrastructure Services,3,"This course is aimed at preparing individuals to gain knowledge, skills, and abilities to demonstrate basic knowledge of the Amazon Web Services (AWS) platform. The student will learn the values of using the cloud as a service, understand the AWS shared responsibility model, and cloud security best practices. This course also discusses cloud economics, architecture design principles, as well as learning the AWS shared responsibility model.",
ANT 353,Anthropology of Gender,3,This course examines the cultural and biological aspect of categories of sex and gender and the diverse ways in which sex and gender roles are culturally constructed in both modern and historical contexts across cultures. Students will use the anthropological perspective to examine the role of culture and society in constructing sexual identities and gender ideologies within households and communities globally and through time. Prerequisite: Written Communication Core Competency and,
ANT 101,"or Global Awareness Competency Requirement.
ANT 462 Anthropological Research Methods",3,"The course introduces students to qualitative research methods. Students will learn techniques such as participant observation, informal and formal interviewing, and archival research and explore the 2023-2024 ACADEMIC CATALOG AWS Amazon Web Services",
AWS 201,Cloud Internet Security,3,"This course is aimed at preparing individuals to gain knowledge, skills, and abilities to demonstrate intermediate knowledge of the AWS platform. This course offers an intermediate understanding of Amazon Web Services (AWS) cloud security best practices, AWS cloud economics, defining the AWS shared responsibility model, AWS access management capabilities, and resources for security support.",
AWS 301,Cloud Business Services,3,"This course is aimed at preparing individuals to gain knowledge, skills, and abilities to demonstrate an advanced knowledge of the Amazon Web Services (AWS) platform. This course covers advanced topics such as cloud costs, billing practices, overview of core AWS services, including computer, network, databases, and storage. Material covered 291COURSE DESCRIPTIONS will also include identifying resources for technology support, and identify resources available for billing support. BUS Business",
BUS 119,"Principles of Personal
& Organizational Leadership",3,"This course provides an introduction and analysis of the fundamental principles of leadership, skills development, and the application of leadership skills in today’s interconnected world. Students will learn and apply leadership theories through self-assessment and critical thinking. Various leadership styles and skills will be examined along with the emergent, strength-based leadership style, and the destructive side of leadership. The importance of comprehensive leadership to embrace diversity and inclusion while managing conflict, along with factors directly related to ethical leadership will be explored. In this course students will become familiar with different ways of employing leadership, their own strengths and weaknesses, and how they can best work with others in a leadership context.",
BUS 215,Personal Financial Management,3,"This course provides an introduction to the field of personal financial management and planning, focusing on the tools individuals and families employ to manage their financial affairs.",
BUS 250,"Corporate & Social Responsibility
3 Credit
This course explores philosophic perspectives for understanding the
meaning of corporate responsibility in society, and considers the
leadership roles of managers in implementing corporate and social
responsibilities. Topics include uses of power, government regulations,
environmental issues, employee rights and responsibilities, consumer
protection, and ethical integrity.
BUS 303 Human Resource Management
3 Credit
An introduction to the field of human resource management. Topics to
be discussed include communication, motivation, and management of
personnel. The course will include a review of current standards and
practices as well as the legal environment as it pertains to the human
resource field.
BUS 307 Operations Management
& Quantitative Techniques",3,"A survey of relevant quantitative techniques commonly used in accounting, business, and information systems. Topics will vary, but, typically, elementary probability theory and applications, decision theory, and linear programming are included. Prerequisite: Fulfillment of Quantitative Reasoning Core Competency.",
BUS 308,Statistics for Managers,3,"This course is a practical introduction to the concepts to the fields of statistics and its many applications in Descriptive statistics, Hypothesis testing, ANOVA, and Regression for business administration students with emphasis on Excel’s tools for statistical analysis. Prerequisite: Fulfillment of Quantitative Reasoning Core Competency.",
BUS 311,Business Law I,3,"Introduction to the legal environment of business in the United States. Examination of the Constitution, administrative law, contracts, agency, and the protection of competition, consumers, employees, investors, the environment, and international trade.",
BUS 317,Introduction to Advertising,3,"This course is designed to introduce students to the field of advertising as a promotional force with emphasis on institutions, planning, strategic practices, and tactical decisions made by advertising executives. It will also explore the various career opportunities including account executive, media buying, copywriting, production, and research. 292",
BUS 318,Organizational Behavior,3,"This course is designed to develop the student’s skills in the understanding of factors that affect how individuals and groups act and interact with one another and with management. It also looks at how organizations manage their internal environment with the aim of improving productivity, efficiency, and communications among members. Prerequisite:",
BUS 201,"or MGT 330.
BUS 330 Principles of Marketing",3,"This course examines the evolution of the marketing philosophy. Subject matter expands on the steps marketers take to understand the customers, determine their needs and wants, and develop a marketing plan. In addition, an examination of external and internal environments impacting marketing decisions, the elements of a marketing program, and issues in ethics and social responsibility are discussed. (Equivalent to",
BUS 336,Marketing Strategy,3,"The objective of this course is to advance the students ability to develop, implement, and critically evaluate the marketing strategies for a product or service. The course will provide the conceptual frameworks to hone the analytical and creative skills that are necessary to create firm values through the use of progressive marketing concepts.",
BUS 337,Principles of Retail Management,3,"Principles and practices used in management of retail businesses. The course covers topics such as site selection, layout, organization, staffing, positioning, customer service, promotional techniques, and all aspects of the critical buying function.",
BUS 339,Marketing Research,3,"Study and analysis of the marketing information system. Includes the organizational characteristics of marketing research, basic tools and procedures, and management science applications.",
BUS 340,Business Communications,3,"Every aspect of contemporary business communications — from determining what information to communicate to processing information and sharing it — depends on technology. Students will learn to compose, format, and manage business letters, memos, reports, email, and resumes. Students will use software to access information and to evaluate the quality of the information they receive. Students will create electronic presentations to communicate information.",
BUS 342,Financial Planning & Practice,3,"This course is a study of the various aspects of family financial planning from the perspective of the financial planning professional. It introduces the legal and regulatory issues affecting financial planners, defines the client-planner relationship, and prepares the planner to conduct family financial analysis. Emphasis is on providing the student with the knowledge and tools necessary to help families make informed financial decisions.",
BUS 343,International Marketing,3,"Examination of cultural, economic, and political factors that affect marketing of goods and services worldwide. Emphasis is on adapting the marketing strategies of domestic marketers to international operations and the institutional structure that exists in international markets. Marketing strategies of firms operation within these markets are also examined.",
BUS 350,Consumer Behavior,3,"This course illustrates the psychological, socio-cultural, and decision- making aspects of consumer behavior. Students study behavioral concepts, motivation, and the role of consumer behavior in our society. THE UNIVERSITY OF ARIZONA GLOBAL CAMPUSCOURSE DESCRIPTIONS",
BUS 351,Integrated Marketing Communications,3,"This course is designed to reinforce the concept of integrated marketing communications (IMC). It aims to increase students' understanding of the planning, implementation and evaluation process of an IMC campaign. Particular emphasis is on the integration of key elements of the marketing communication mix (e.g., advertising, promotion, direct marketing, interactive marketing, PR and publicity, etc.). Students will also learn how different types of media are employed in IMC.",
BUS 352,e-Business,3,"BUS 352 is an introduction to the fundamental concepts used in e- business and e-commerce. This course identifies and describes the wide range of web-based applications in business. It will explore how the Internet is used for business applications, and development in a competitive environment. Activities within this course includes online research, topical discussions, analyzing e-business ideas, business level writing, and other activities designed to further insight into key course concepts. Students need to be proficient in using the Internet to research and find information.",
BUS 357,International Business,3,Students examine functional areas of business from an international perspective. The importance of differing cultural and political assumptions in business is also addressed. (Equivalent to,
BUS 362,Introduction to Entrepreneurship,3,"This dynamic course is based on a unique model of entrepreneurial methodology developed by Forbes School of Business and Technology® at the University of Arizona Global Campus. Entrepreneurship encompasses imagining the unknown, taking inspired action, and embracing uncertainty to create a new future. It involves the identification, evaluation, and exploitation of opportunities to address challenges and to solve problems. Students will learn how to use imagination, creativity, innovation, and entrepreneurship to bring new ideas to fruition that inspire others. Students will create a feasible blueprint for a venture opportunity idea of their own. This course will be the beginning of the journey to becoming an entrepreneur.",
BUS 365,Creativity & Innovation,3,"This course emphasizes developing knowledge and skills of creativity, innovation, and entrepreneurship. This iterative process transforms business opportunities into outcomes of inspirational value for customers and stakeholders alike. This practice based approach enables students to engage with obstacles as opportunities for devising unique solutions that create desirable, feasible, and viable outcomes. The course also examines how individuals can be innovative in organizations and the challenge of building creative, innovative organizations as entrepreneurs. Prerequisite:",
BUS 368,Venture Capital & Banking,3,"BUS 368 provides students the opportunity to gain fundamental finance knowledge needed to start, grow and value new business ventures. The emphasis is on using theory to inform practice rather than focusing on complex terms and calculations. Real-world case studies that demonstrate entrepreneurial finance concepts in action are used throughout the course. These concepts provide the foundation for obtaining financing and executing part of the management function of control when business-as-usual activities are evaluated. Prerequisite:",
BUS 370,Organizational Development,3,"The course overviews how, why, and when to integrate the behavioral sciences with human resources management principles to increase individual and organizational effectiveness. Students will also be introduced to many types of interpersonal, intra-group, inter-group, and organizational interventions that are used to effect comprehensive and lasting changes. Prerequisite:",
MGT 330,"or HCA 459.
2023-2024 ACADEMIC CATALOG
BUS 372 Employee & Labor Relations",3,"The course provides students with both the common and complex issues related to human behavior in the workplace as it relates to employee relations, and an examination of relationships among unions, workers, management, laws and government regulation. Prerequisite:",
BUS 375,Employee Training,3,"This course provides essential managerial-level comprehension of training theory and its practical applications in the business and management environment. Students learn the functions and duties of training: trainer/developer, the identification and assessment of training needs, program design and development, selection of delivery methods and means of instruction, the implementation of training programs, and evaluation. Prerequisite:",
BUS 378,International Business Law,3,"This courses focuses on the legal environment associated with international commercial transactions, including an analysis of major Western and non-Western legal traditions and the supranational law of the European Community, a detailed analysis of the negotiation, formation, enforcement, and financing of international sales contracts, an analysis of international trade regulation, analysis of methods of regulating global competition, and of the protection of business property rights in international transactions.",
BUS 401,Principles of Finance,3,"This course encompasses fundamental financial concepts and analysis. Students will learn to evaluate the financial performance of a company and analyze key financial ratios. The course will enable students to calculate the present and future value of assets using the concept of the time value of money. Additionally, the course will cover the value and risk of companies, the relationship between risk and return, and the meaning of the weighted average cost of capital. The course is designed to equip students with the technological and analytical tools they need to help businesses make sound financial decisions. Prerequisites:",
"ACC
205","or ACC 208 or ACC 281 and fulfillment of the Quantitative Reasoning
Core Competency
BUS 402 Strategic Management & Business Policy",3,"A case-based course that discusses the set of managerial decisions and actions that determines the long-run performance of a company. The course includes environmental scanning, strategy formulation, strategy implementation, and evaluation and control. Prerequisites:",
BUS 201,"or
MGT 330, ACC 205, and ECO 203 or ECO 204 and successful completion
of the General Education Capstone course. BUS 402 is the capstone
course for the BA in Business Administration, BA in Operations
Management and Analysis, BA in Project Management, BA in Business
Economics, BA in Service Management and BA in Sustainable Enterprise
Management programs and must be taken last in the sequence. This
course is not available for non-degree seeking students.
BUS 405 Principles of Investments",3,The study and analysis of securities and other forms of investments. Emphasis is on investment principles from the manager’s point of view. Prerequisite:,
BUS 410,Digital Marketing Essentials,3,"This course is designed to provide the theoretical understanding of the digital marketplace necessary to adapt to its many changes, while also equipping students with the skills they will need to perform vital functions of digital marketing. Prerequisite:",
BUS 421,PR/Marketing Capstone,3,"This course is designed to bring together the knowledge gained through the entire program and permits the student to demonstrate mastery in the various course competencies. Students are expected to apply and integrate a variety of skills, tools, and knowledge to assess real-world 293COURSE DESCRIPTIONS problems offering realistic solutions. Students will analyze, design, implement, and document an appropriate solution for a capstone project. The project should exemplify the student’s ability to apply program outcomes. Prerequisite: Successful completion of the General Education Capstone course.",
BUS 430,Finance Seminar,3,"Using readings and case studies, students gain understanding the types of analysis performed and decisions made by the financial managers of corporations, focusing on valuation concepts and managing for value. Students also explore specific financing and investing decisions made by the firm’s management to mitigate corporate risk using insurance and financial derivatives; valuation of real options; real estate investment decision; issues and methods of corporate financial management in an international environment. Prerequisite:",
BUS 433,New Business Strategy,3,"This course emphasizes learning by doing rather than memorizing seminal theories about strategy. Often, strategic management focus on theory with secondary attention devoted to using theory to inform practice. Learning how to use theory for strategic planning to develop and maintain a competitive advantage is important to entrepreneurs.",
BUS 434,Compensation & Benefits Management,3,"This course reviews the fundamentals of wage and salary programs, including conducting salary surveys, defining compensable factors, adjusting pay structures, evaluating pay differentials, and relating pay to performance. Benefit programs and related employee incentive and service programs are also covered. Prerequisite:",
BUS 435,Small Business Ventures,3,"This course incorporates the concepts and practices of entrepreneurial methodology in developing the framework for a small business venture based on each student's individual entrepreneurial desires and goals. The course provides students with a unique opportunity for engaging in the practice of entrepreneurship. The focus will be on the creation of a feasible working prototype for an actual small business venture. Students will explore the application of sound management practices related to strategic planning, operating, financing, and launching a small business venture or operating family-owned and managed companies or privately held firms. Prerequisite:",
BUS 362,"(Completion of BUS 365,
BUS 368, & BUS 433 recommended).
BUS 437 Business Plan Development",3,BUS 437 students will use prior learning to create a comprehensive business plan for a new venture. The emphasis is on using a systematic four-step method to frame business plan development activities. Each week student teams will develop one segment of the team’s business plan and receive feedback from the instructor through a game simulation.,
BUS 441,Retail Pricing Management,3,"The purpose of this course is to provide an in-depth understanding of the issues and considerations in the pricing of retail products, illustrate the role of pricing and product management in achieving strategic retail business goals, and demonstrate the link between pricing and product management within the context of the marketing mix within the marketing management process. Prerequisites:",
ECO 204,"and SRV 340.
BUS 442 Retail Merchandising",3,"This course addresses the central issues of retailing business while emphasizing issues related to channel options available to the final consumer. The course features concepts applied to both store based (e.g., specialty store, department store, multi-unit retail) and non-store based (e.g., Internet and catalog) retailing channels. 294",
BUS 443,"Quality Management for
Organizational Excellence",3,"This course presents quality procedures and concepts for enhancing goods, services, and the entire business environment. Students will learn to view quality as the result of customer-focused processes. Tools to manage these processes focus on designing, monitoring, controlling, and improving the inputs, activities, and outputs involved in all business activities.",
BUS 446,Production Operations Control,3,"Students analyze production control requirements as applied to both ""push"" and ""pull"" production environments. Students will gain an understanding of the ideologies related to forecasting, planning, scheduling, and managing operations with regard to the important relationship between the supply chain and production control. Students further learn to capture data to produce goods and services.",
BUS 450,International Finance,3,"An examination of the international aspects of corporate finance and investing, the course covers balance of payments, foreign exchange with emphasis on exchange rate determination, exchange risk, hedging, and interest arbitrage, international money and capital markets, international financing, and international banking.",
BUS 458,Consumer & Family Finance Capstone,3,"This course provides a link between the traditional advisement services (finance, investment, tax, insurance, retirement planning, trust planning) and the client’s life plan to manage financial affairs. As a final exercise, students complete a model financial plan for a mock client. Prerequisite: Successful completion of the General Education Capstone course.",
BUS 461,Decision Modeling & Analysis,3,"This course is an introduction to the application of management science techniques and statistical tools to business decisions. Students will learn the assumptions and techniques necessary to apply and to implement solutions from optimization and other decision science models. The focus of the course will be on problem solving, which includes problem definition, problem analysis, evaluation and choice of alternatives, and implementation and evaluation of the decision. Prerequisites:",
